"Address A,Address B,Packets,Bytes,Stream ID,Packets A ? B,Bytes A ? B,Packets B ? A,Bytes B ? A,Rel Start,Duration,Bits/s A ? B,Bits/s B ? A"
"172.16.24.249,""172.16.15.40"",2,132,97,2,132,0,0,12.346534,7.036447000000001,150,0"
"172.16.25.6,""172.16.15.123"",4,232,44,2,120,2,112,5.720334,4.884564,196,183"
"172.16.25.21,""172.16.15.123"",4,232,51,2,120,2,112,6.288214,4.309794,222,207"
"172.16.25.94,""172.16.15.9"",2,132,26,2,132,0,0,3.293144,8.002224,131,0"
"172.16.25.96,""172.16.15.83"",5,330,21,5,330,0,0,3.148315,15.058882,175,0"
"172.16.25.98,""172.16.15.3"",1,66,124,1,66,0,0,22.480412,0,"""","""""
"172.16.25.160,""172.16.15.3"",3,198,115,3,198,0,0,18.891637,3.019808000000001,524,0"
"172.16.25.162,""172.16.15.40"",5,330,58,5,330,0,0,7.381063,15.039708999999998,175,0"
"172.16.25.229,""172.16.15.3"",2,132,30,2,132,0,0,3.577963,8.004914,131,0"
"172.16.25.233,""172.16.15.83"",3,198,14,3,198,0,0,1.407083,12.017801,131,0"
"172.16.25.234,""172.16.15.3"",2,132,114,2,132,0,0,18.685901,1.0126609999999978,1042,0"
"172.16.26.164,""172.16.15.83"",2,132,111,2,132,0,0,17.223003,3.0198810000000016,349,0"
"172.16.26.207,""172.16.15.3"",3,198,105,3,198,0,0,15.56948,7.030983999999998,225,0"
"172.16.26.225,""172.16.15.37"",1,66,125,1,66,0,0,22.747046,0,"""","""""
"172.16.27.98,""172.16.15.3"",1,66,55,1,66,0,0,6.52378,0,"""","""""
"172.16.38.182,""172.16.15.40"",2,132,12,2,132,0,0,1.138193,8.001011,131,0"
"172.16.56.24,""172.16.15.9"",2,132,102,2,132,0,0,13.648808,4.008232999999999,263,0"
"172.16.56.38,""172.16.15.123"",4,232,43,2,120,2,112,5.529923,5.065923999999999,189,176"
"172.16.73.136,""172.16.15.123"",4,232,62,2,120,2,112,7.568111,3.0223700000000004,317,296"
"172.16.73.221,""172.16.15.123"",8,549,6,5,375,3,174,0.259563,0.009101999999999999,329597,152933"
"172.16.73.243,""172.16.15.9"",4,264,73,4,264,0,0,10.206153,7.014982,301,0"
"172.16.75.131,""172.16.15.9"",5,330,52,5,330,0,0,6.305505,15.040959999999998,175,0"
"172.16.75.132,""172.16.15.9"",2,132,119,2,132,0,0,20.922797,2.0140340000000023,524,0"
"172.16.75.156,""172.16.15.9"",3,198,13,3,198,0,0,1.231807,12.008442,131,0"
"172.16.75.187,""172.16.15.9"",1,66,27,1,66,0,0,3.312486,0,"""","""""
"172.16.75.201,""172.16.15.3"",4,264,96,4,264,0,0,11.946508,7.012437,301,0"
"172.16.75.202,""172.16.15.3"",1,66,5,1,66,0,0,0.193463,0,"""","""""
"172.16.75.206,""172.16.15.3"",5,330,59,5,330,0,0,7.402547,15.027921999999998,175,0"
"172.16.75.239,""172.16.15.3"",1,66,42,1,66,0,0,5.508957,0,"""","""""
"172.16.80.35,""172.16.15.3"",5,330,31,5,330,0,0,3.976141,15.062589999999998,175,0"
"172.16.80.109,""172.16.15.145"",5,330,20,5,330,0,0,2.72378,15.015531000000001,175,0"
"172.16.80.124,""172.16.15.3"",1,66,29,1,66,0,0,3.458611,0,"""","""""
"172.16.80.139,""172.16.15.3"",3,198,65,3,198,0,0,8.232539,3.0188450000000007,524,0"
"172.16.80.169,""172.16.15.9"",3,198,15,3,198,0,0,1.451395,12.0041,131,0"
"172.16.80.177,""172.16.15.37"",4,264,107,4,264,0,0,15.940518,7.018114000000001,300,0"
